[2026-08-14T05:28:24.574Z] GET http://localhost:3000/_next/static/chunks/0s3p_14sqbkl._.js → 200 (144ms, 128734B)
[2026-08-14T05:28:24.574Z] GET http://localhost:3000/_next/static/chunks/Desktop_projects_wacrm_src_app_(dashboard)_dashboard_page_tsx_18vm7h6._.js → 200 (137ms, 567B)
[2026-08-14T05:28:24.574Z] GET http://localhost:3000/_next/static/chunks/0s3p_next_dist_client_components_builtin_global-error_1--5669.js → 200 (140ms, 212B)
[2026-08-14T05:28:24.701Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (26ms, 3904B)
[2026-08-14T05:28:24.701Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1wvfdr9._.js → 200 (25ms, 289B)
[2026-08-14T05:28:24.788Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/profiles?select=id%2Cfull_name%2Cemail%2Cavatar_url%2Crole%2Cbeta_features%2Caccount_id%2Caccount_role&user_id=eq.2b2363a2-7aa9-4c21-87ec-4991c0fb105b → pending (?ms, ?B)
[2026-08-14T05:28:24.788Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/profiles?select=id%2Cfull_name%2Cemail%2Cavatar_url%2Crole%2Cbeta_features%2Caccount_id%2Caccount_role&user_id=eq.2b2363a2-7aa9-4c21-87ec-4991c0fb105b → pending (?ms, ?B)
[2026-08-14T05:28:24.840Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/conversations?select=id%2Cunread_count → 200 (240ms, 894B)
[2026-08-14T05:28:24.840Z] HEAD https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/notifications?select=*&read_at=is.null → pending (?ms, ?B)
[2026-08-14T05:28:24.840Z] HEAD https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/conversations?select=id&status=eq.open → pending (?ms, ?B)
[2026-08-14T05:28:24.840Z] HEAD https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/conversations?select=id&status=eq.open&created_at=gte.2026-08-13T18%3A30%3A00.000Z → pending (?ms, ?B)
[2026-08-14T05:28:24.840Z] HEAD https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/conversations?select=id&status=eq.open&created_at=gte.2026-08-12T18%3A30%3A00.000Z&created_at=lt.2026-08-13T18%3A30%3A00.000Z → pending (?ms, ?B)
[2026-08-14T05:28:24.840Z] HEAD https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/contacts?select=id&created_at=gte.2026-08-13T18%3A30%3A00.000Z → pending (?ms, ?B)
[2026-08-14T05:28:24.840Z] HEAD https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/contacts?select=id&created_at=gte.2026-08-12T18%3A30%3A00.000Z&created_at=lt.2026-08-13T18%3A30%3A00.000Z → pending (?ms, ?B)
[2026-08-14T05:28:24.840Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/deals?select=value%2Cstatus&status=eq.open → 200 (253ms, 759B)
[2026-08-14T05:28:24.840Z] HEAD https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/messages?select=id&sender_type=eq.agent&created_at=gte.2026-08-13T18%3A30%3A00.000Z → pending (?ms, ?B)
[2026-08-14T05:28:24.840Z] HEAD https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/messages?select=id&sender_type=eq.agent&created_at=gte.2026-08-12T18%3A30%3A00.000Z&created_at=lt.2026-08-13T18%3A30%3A00.000Z → pending (?ms, ?B)
[2026-08-14T05:28:24.840Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/messages?select=created_at%2Csender_type&created_at=gte.2026-07-15T18%3A30%3A00.000Z&order=created_at.asc → pending (?ms, ?B)
[2026-08-14T05:28:24.840Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/pipeline_stages?select=id%2Cname%2Ccolor%2Cpipeline_id%2Cposition&order=position.asc → pending (?ms, ?B)
[2026-08-14T05:28:24.840Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/deals?select=stage_id%2Cvalue%2Cstatus&status=eq.open → pending (?ms, ?B)
[2026-08-14T05:28:24.840Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/messages?select=conversation_id%2Csender_type%2Ccreated_at&created_at=gte.2026-07-31T18%3A30%3A00.000Z&order=conversation_id.asc%2Ccreated_at.asc → pending (?ms, ?B)
[2026-08-14T05:28:24.841Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/messages?select=id%2Ccontent_text%2Csender_type%2Ccreated_at%2Cconversation_id%2Cconversations%28contact_id%2Ccontacts%28name%2Cphone%29%29&sender_type=eq.customer&order=created_at.desc&limit=10 → pending (?ms, ?B)
[2026-08-14T05:28:24.841Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/contacts?select=id%2Cname%2Cphone%2Ccreated_at&order=created_at.desc&limit=10 → pending (?ms, ?B)
[2026-08-14T05:28:24.841Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/deals?select=id%2Ctitle%2Cupdated_at%2Cstage%3Apipeline_stages%28name%29&order=updated_at.desc&limit=10 → 200 (254ms, 799B)
[2026-08-14T05:28:24.841Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/broadcasts?select=id%2Cname%2Cstatus%2Ctotal_recipients%2Ccreated_at&order=created_at.desc&limit=5 → pending (?ms, ?B)
[2026-08-14T05:28:24.841Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/automation_logs?select=id%2Ctrigger_event%2Cstatus%2Ccreated_at%2Cautomation%3Aautomations%28name%29%2Ccontact%3Acontacts%28name%2Cphone%29&order=created_at.desc&limit=10 → pending (?ms, ?B)
[2026-08-14T05:28:24.841Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/conversations?select=id%2Cunread_count → 200 (176ms, 894B)
[2026-08-14T05:28:24.841Z] HEAD https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/notifications?select=*&read_at=is.null → 200 (187ms, ?B)
[2026-08-14T05:28:24.841Z] HEAD https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/conversations?select=id&status=eq.open → pending (?ms, ?B)
[2026-08-14T05:28:24.841Z] HEAD https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/conversations?select=id&status=eq.open&created_at=gte.2026-08-13T18%3A30%3A00.000Z → pending (?ms, ?B)
[2026-08-14T05:28:24.842Z] HEAD https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/conversations?select=id&status=eq.open&created_at=gte.2026-08-12T18%3A30%3A00.000Z&created_at=lt.2026-08-13T18%3A30%3A00.000Z → 200 (199ms, ?B)
[2026-08-14T05:28:24.842Z] HEAD https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/contacts?select=id&created_at=gte.2026-08-13T18%3A30%3A00.000Z → pending (?ms, ?B)
[2026-08-14T05:28:24.842Z] HEAD https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/contacts?select=id&created_at=gte.2026-08-12T18%3A30%3A00.000Z&created_at=lt.2026-08-13T18%3A30%3A00.000Z → pending (?ms, ?B)
[2026-08-14T05:28:24.842Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/deals?select=value%2Cstatus&status=eq.open → 200 (203ms, 756B)
[2026-08-14T05:28:24.842Z] HEAD https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/messages?select=id&sender_type=eq.agent&created_at=gte.2026-08-13T18%3A30%3A00.000Z → pending (?ms, ?B)
[2026-08-14T05:28:24.842Z] HEAD https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/messages?select=id&sender_type=eq.agent&created_at=gte.2026-08-12T18%3A30%3A00.000Z&created_at=lt.2026-08-13T18%3A30%3A00.000Z → pending (?ms, ?B)
[2026-08-14T05:28:24.842Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/messages?select=created_at%2Csender_type&created_at=gte.2026-07-15T18%3A30%3A00.000Z&order=created_at.asc → 200 (258ms, 1009B)
[2026-08-14T05:28:24.842Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/pipeline_stages?select=id%2Cname%2Ccolor%2Cpipeline_id%2Cposition&order=position.asc → pending (?ms, ?B)
[2026-08-14T05:28:24.842Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/deals?select=stage_id%2Cvalue%2Cstatus&status=eq.open → pending (?ms, ?B)
[2026-08-14T05:28:24.842Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/messages?select=conversation_id%2Csender_type%2Ccreated_at&created_at=gte.2026-07-31T18%3A30%3A00.000Z&order=conversation_id.asc%2Ccreated_at.asc → pending (?ms, ?B)
[2026-08-14T05:28:24.842Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/messages?select=id%2Ccontent_text%2Csender_type%2Ccreated_at%2Cconversation_id%2Cconversations%28contact_id%2Ccontacts%28name%2Cphone%29%29&sender_type=eq.customer&order=created_at.desc&limit=10 → pending (?ms, ?B)
[2026-08-14T05:28:24.842Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/contacts?select=id%2Cname%2Cphone%2Ccreated_at&order=created_at.desc&limit=10 → 200 (199ms, 1006B)
[2026-08-14T05:28:24.842Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/deals?select=id%2Ctitle%2Cupdated_at%2Cstage%3Apipeline_stages%28name%29&order=updated_at.desc&limit=10 → 200 (196ms, 799B)
[2026-08-14T05:28:24.842Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/broadcasts?select=id%2Cname%2Cstatus%2Ctotal_recipients%2Ccreated_at&order=created_at.desc&limit=5 → pending (?ms, ?B)
[2026-08-14T05:28:24.842Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/automation_logs?select=id%2Ctrigger_event%2Cstatus%2Ccreated_at%2Cautomation%3Aautomations%28name%29%2Ccontact%3Acontacts%28name%2Cphone%29&order=created_at.desc&limit=10 → pending (?ms, ?B)
[2026-08-14T05:28:25.111Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/accounts?select=id%2Cname%2Cdefault_currency&id=eq.2b08259a-6297-4ccb-837d-054a546f1059 → 200 (82ms, 929B)
[2026-08-14T05:28:25.222Z] GET https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/accounts?select=id%2Cname%2Cdefault_currency&id=eq.2b08259a-6297-4ccb-837d-054a546f1059 → 200 (64ms, 930B)
[2026-08-14T05:28:25.285Z] POST https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/rpc/touch_presence → 204 (61ms, 675B)
[2026-08-14T05:28:25.285Z] GET http://localhost:3000/_next/static/media/1bffadaabf893a1e-s.3-6t-g6q0vh0a.woff2 → 200 (1ms, -813B)
[2026-08-14T05:28:39.269Z] GET http://localhost:3000/dashboard → 200 (165ms, 28115B)
[2026-08-14T05:28:39.437Z] POST https://ebqfbgatndyhwevyheot.supabase.co/rest/v1/rpc/touch_presence → pending (?ms, ?B)
[2026-08-14T05:28:39.441Z] GET http://localhost:3000/_next/static/media/83afe278b6a6bb3c-s.p.2bn3s6zvc0dyp.woff2 → 200 (7ms, -812B)
[2026-08-14T05:28:39.441Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__0dtla9k._.css → 200 (8ms, ?B)
[2026-08-14T05:28:39.441Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1wt9tc8._.js → 200 (11ms, ?B)
[2026-08-14T05:28:39.441Z] GET http://localhost:3000/_next/static/chunks/0s3p_next_dist_compiled_next-devtools_index_0j79cy9.js → 200 (37ms, ?B)
[2026-08-14T05:28:39.441Z] GET http://localhost:3000/_next/static/chunks/0s3p_next_dist_compiled_react-dom_15_z71r._.js → 200 (36ms, ?B)
[2026-08-14T05:28:39.441Z] GET http://localhost:3000/_next/static/chunks/0s3p_next_dist_compiled_react-server-dom-turbopack_0f_tl2a._.js → 200 (20ms, ?B)
[2026-08-14T05:28:39.442Z] GET http://localhost:3000/_next/static/chunks/0s3p_next_dist_compiled_0gotzcs._.js → 200 (24ms, ?B)
[2026-08-14T05:28:39.443Z] GET http://localhost:3000/_next/static/chunks/0s3p_next_dist_client_00vepj3._.js → 200 (33ms, ?B)
[2026-08-14T05:28:39.443Z] GET http://localhost:3000/_next/static/chunks/0s3p_next_dist_0k3gjni._.js → 200 (22ms, ?B)
[2026-08-14T05:28:39.443Z] GET http://localhost:3000/_next/static/chunks/0s3p_%40swc_helpers_cjs_13o7gja._.js → 200 (26ms, ?B)
[2026-08-14T05:28:39.443Z] GET http://localhost:3000/_next/static/chunks/Desktop_projects_wacrm_1anvha4._.js → 200 (26ms, ?B)
[2026-08-14T05:28:39.443Z] GET http://localhost:3000/_next/static/chunks/turbopack-Desktop_projects_wacrm_20ygiv8._.js → 200 (33ms, ?B)
[2026-08-14T05:28:39.443Z] GET http://localhost:3000/_next/static/chunks/0s3p_next_dist_0xsn649._.js → 200 (34ms, ?B)
